partNumber,Vendor,EffectiveDate,Meter Category,Instance Series,Instance Name,vCPU,RAM,Temporary Storage,Temporary Storage Type,Instance Family,Size,Tenancy,Reservation Type,Reservation Length,Meter Region,Operating System,Licence Model,Azure Environment,Azure Priority,Azure Source,Azure Hosting Type,Pricing ,Unit,Rate,Currency,Normalised Rate,Description
8HHRQY56X7SYKSCN.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.medium,1.00,2.00,0.00,EBS only,General purpose,1c / 2 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.021 ,USD, $0.03 ,
8HHRQY56X7SYKSCN.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.medium,1.00,2.00,0.00,EBS only,General purpose,1c / 2 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.016 ,USD, $0.02 ,
8HHRQY56X7SYKSCN.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,a1,a1.medium,1.00,2.00,0.00,EBS only,General purpose,1c / 2 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.033 ,USD, $0.04 ,
ARK9SNU2ZB4RMH48.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.medium,1.00,2.00,0.00,EBS only,General purpose,1c / 2 GiB,Shared,Reserved,1 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.034 ,USD, $0.04 ,
ARK9SNU2ZB4RMH48.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.medium,1.00,2.00,0.00,EBS only,General purpose,1c / 2 GiB,Shared,Reserved,3 Year Reserved,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.027 ,USD, $0.03 ,
ARK9SNU2ZB4RMH48.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,a1,a1.medium,1.00,2.00,0.00,EBS only,General purpose,1c / 2 GiB,Shared,On-Demand,On-Demand,Asia Pacific (Sydney),SUSE,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.064 ,USD, $0.08 ,
DP8X7HKTXS95ZSEQ.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.medium,1.00,2.00,0.00,EBS only,General purpose,1c / 2 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.083 ,USD, $0.10 ,
DP8X7HKTXS95ZSEQ.BPH4J8HBKS.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.medium,1.00,2.00,0.00,EBS only,General purpose,1c / 2 GiB,Dedicated,Reserved,3 Year Reserved,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.078 ,USD, $0.10 ,
DP8X7HKTXS95ZSEQ.JRTCKXETXF.6YS6EN2CT7,AWS,2020-01-01,Virtual Machines,a1,a1.medium,1.00,2.00,0.00,EBS only,General purpose,1c / 2 GiB,Dedicated,On-Demand,On-Demand,Asia Pacific (Sydney),RHEL,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.095 ,USD, $0.12 ,
Q99PK9VU3DN6XFZ3.4NA7Y494T4.6YS6EN2CT7,AWS,2019-06-01,Virtual Machines,a1,a1.medium,1.00,2.00,0.00,EBS only,General purpose,1c / 2 GiB,Dedicated,Reserved,1 Year Reserved,Asia Pacific (Sydney),Linux,Licence Included,None,None,None,None,Public Cloud Compute,Per Hour, $0.023 ,USD, $0.03 ,
